jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,SWANEPOEL Shaylene,RSA,True,GK,16,7,9,56.25,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
20,van der MERWE Rachel,RSA,True,GK,11,4,7,63.64,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
1,KURKO Andrea,ROU,False,GK,11,1,10,90.91,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
25,NICIU Nadina,ROU,False,GK,8,3,5,62.5,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
1,SIMONSEN Emilie,LTU,True,GK,32,1,31,96.88,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14669/2-ltu-vs-hkg,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14669/2-ltu-vs-hkg
20,PREKEVICIENE Jurgita,LTU,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14669/2-ltu-vs-hkg,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14669/2-ltu-vs-hkg
1,FOK Stephanie,HKG,False,GK,15,4,11,73.33,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14669/2-ltu-vs-hkg,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14669/2-ltu-vs-hkg
20,CHAU Sumi,HKG,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14669/2-ltu-vs-hkg,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14669/2-ltu-vs-hkg
1,SWINNEN Charlotte,BEL,True,GK,13,2,11,84.62,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14670/3-bel-vs-bul,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14670/3-bel-vs-bul
25,de WAEGENEER Lieselot,BEL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14670/3-bel-vs-bul,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14670/3-bel-vs-bul
20,SIMEONOVA Petya,BUL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14670/3-bel-vs-bul,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14670/3-bel-vs-bul
25,GEORGIEVA Paulina,BUL,False,GK,35,4,31,88.57,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14670/3-bel-vs-bul,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14670/3-bel-vs-bul
1,KURKO Andrea,ROU,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14671/4-rou-vs-hkg,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14671/4-rou-vs-hkg
25,NICIU Nadina,ROU,True,GK,14,1,13,92.86,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14671/4-rou-vs-hkg,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14671/4-rou-vs-hkg
1,FOK Stephanie,HKG,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14671/4-rou-vs-hkg,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14671/4-rou-vs-hkg
20,CHAU Sumi,HKG,False,GK,27,2,25,92.59,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14671/4-rou-vs-hkg,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14671/4-rou-vs-hkg
1,SWINNEN Charlotte,BEL,True,GK,18,4,14,77.78,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14672/5-bel-vs-rsa,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14672/5-bel-vs-rsa
25,de WAEGENEER Lieselot,BEL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14672/5-bel-vs-rsa,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14672/5-bel-vs-rsa
1,SWANEPOEL Shaylene,RSA,False,GK,29,3,26,89.66,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14672/5-bel-vs-rsa,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14672/5-bel-vs-rsa
20,van der MERWE Rachel,RSA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14672/5-bel-vs-rsa,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14672/5-bel-vs-rsa
20,SIMEONOVA Petya,BUL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14673/6-bul-vs-ltu,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14673/6-bul-vs-ltu
25,GEORGIEVA Paulina,BUL,True,GK,16,1,15,93.75,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14673/6-bul-vs-ltu,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14673/6-bul-vs-ltu
1,SIMONSEN Emilie,LTU,False,GK,45,2,43,95.56,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14673/6-bul-vs-ltu,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14673/6-bul-vs-ltu
20,PREKEVICIENE Jurgita,LTU,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14673/6-bul-vs-ltu,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14673/6-bul-vs-ltu
1,SWINNEN Charlotte,BEL,True,GK,8,4,4,50.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14674/7-bel-vs-ltu,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14674/7-bel-vs-ltu
25,de WAEGENEER Lieselot,BEL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14674/7-bel-vs-ltu,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14674/7-bel-vs-ltu
1,SIMONSEN Emilie,LTU,False,GK,38,3,35,92.11,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14674/7-bel-vs-ltu,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14674/7-bel-vs-ltu
20,PREKEVICIENE Jurgita,LTU,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14674/7-bel-vs-ltu,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14674/7-bel-vs-ltu
1,SWANEPOEL Shaylene,RSA,True,GK,11,1,10,90.91,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14675/8-rsa-vs-hkg,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14675/8-rsa-vs-hkg
20,van der MERWE Rachel,RSA,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14675/8-rsa-vs-hkg,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14675/8-rsa-vs-hkg
1,FOK Stephanie,HKG,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14675/8-rsa-vs-hkg,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14675/8-rsa-vs-hkg
20,CHAU Sumi,HKG,False,GK,19,2,17,89.47,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14675/8-rsa-vs-hkg,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14675/8-rsa-vs-hkg
1,KURKO Andrea,ROU,True,GK,27,4,23,85.19,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14676/9-rou-vs-bul,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14676/9-rou-vs-bul
25,NICIU Nadina,ROU,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14676/9-rou-vs-bul,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14676/9-rou-vs-bul
20,SIMEONOVA Petya,BUL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14676/9-rou-vs-bul,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14676/9-rou-vs-bul
25,GEORGIEVA Paulina,BUL,False,GK,23,3,20,86.96,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14676/9-rou-vs-bul,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14676/9-rou-vs-bul
1,FOK Stephanie,HKG,True,GK,24,7,17,70.83,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14677/10-hkg-vs-bel,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14677/10-hkg-vs-bel
20,CHAU Sumi,HKG,True,GK,13,1,12,92.31,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14677/10-hkg-vs-bel,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14677/10-hkg-vs-bel
1,SWINNEN Charlotte,BEL,False,GK,3,1,2,66.67,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14677/10-hkg-vs-bel,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14677/10-hkg-vs-bel
25,de WAEGENEER Lieselot,BEL,False,GK,1,0,1,100.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14677/10-hkg-vs-bel,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14677/10-hkg-vs-bel
1,SIMONSEN Emilie,LTU,True,GK,34,4,30,88.24,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14678/11-ltu-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14678/11-ltu-vs-rou
20,PREKEVICIENE Jurgita,LTU,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14678/11-ltu-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14678/11-ltu-vs-rou
1,KURKO Andrea,ROU,False,GK,10,2,8,80.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14678/11-ltu-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14678/11-ltu-vs-rou
25,NICIU Nadina,ROU,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14678/11-ltu-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14678/11-ltu-vs-rou
20,SIMEONOVA Petya,BUL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14679/12-bul-vs-rsa,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14679/12-bul-vs-rsa
25,GEORGIEVA Paulina,BUL,True,GK,20,2,18,90.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14679/12-bul-vs-rsa,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14679/12-bul-vs-rsa
1,SWANEPOEL Shaylene,RSA,False,GK,22,1,21,95.45,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14679/12-bul-vs-rsa,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14679/12-bul-vs-rsa
20,van der MERWE Rachel,RSA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14679/12-bul-vs-rsa,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14679/12-bul-vs-rsa
1,SWANEPOEL Shaylene,RSA,True,GK,9,2,7,77.78,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14680/13-rsa-vs-ltu,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14680/13-rsa-vs-ltu
20,van der MERWE Rachel,RSA,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14680/13-rsa-vs-ltu,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14680/13-rsa-vs-ltu
1,SIMONSEN Emilie,LTU,False,GK,43,4,39,90.7,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14680/13-rsa-vs-ltu,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14680/13-rsa-vs-ltu
20,PREKEVICIENE Jurgita,LTU,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14680/13-rsa-vs-ltu,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14680/13-rsa-vs-ltu
1,FOK Stephanie,HKG,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14681/14-hkg-vs-bul,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14681/14-hkg-vs-bul
20,CHAU Sumi,HKG,True,GK,23,5,18,78.26,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14681/14-hkg-vs-bul,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14681/14-hkg-vs-bul
20,SIMEONOVA Petya,BUL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14681/14-hkg-vs-bul,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14681/14-hkg-vs-bul
25,GEORGIEVA Paulina,BUL,False,GK,8,0,8,100.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14681/14-hkg-vs-bul,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14681/14-hkg-vs-bul
1,KURKO Andrea,ROU,True,GK,10,4,6,60.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14682/15-rou-vs-bel,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14682/15-rou-vs-bel
25,NICIU Nadina,ROU,True,GK,5,0,5,100.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14682/15-rou-vs-bel,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14682/15-rou-vs-bel
1,SWINNEN Charlotte,BEL,False,GK,24,2,22,91.67,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14682/15-rou-vs-bel,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14682/15-rou-vs-bel
25,de WAEGENEER Lieselot,BEL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14682/15-rou-vs-bel,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14682/15-rou-vs-bel
