period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,ROU,7,RSA,1,4.897270789917574,3.5143122101678443,RSA,ROU,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,https://www.iihf.com//pdf/855/ihw855901_77a_3_0
1,ROU,13,RSA,1,3.0327586308478924,0.2929989715072181,RSA,ROU,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,https://www.iihf.com//pdf/855/ihw855901_77a_3_0
1,ROU,17,RSA,1,5.083722161783365,3.21047339564223,RSA,ROU,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,https://www.iihf.com//pdf/855/ihw855901_77a_3_0
1,RSA,18,ROU,1,0.6834741815278147,0.5617775266300433,RSA,ROU,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,https://www.iihf.com//pdf/855/ihw855901_77a_3_0
2,ROU,23,RSA,1,0.3105702688315145,2.2122173383976707,RSA,ROU,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,https://www.iihf.com//pdf/855/ihw855901_77a_3_0
2,ROU,9,RSA,1,0.3478631554431727,1.9819992358544782,RSA,ROU,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,https://www.iihf.com//pdf/855/ihw855901_77a_3_0
2,ROU,7,RSA,20,4.934563814213468,0.21325760372954372,RSA,ROU,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,https://www.iihf.com//pdf/855/ihw855901_77a_3_0
2,ROU,17,RSA,20,2.734437383550705,0.13972411564068876,RSA,ROU,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,https://www.iihf.com//pdf/855/ihw855901_77a_3_0
2,ROU,14,RSA,20,4.6735302435453825,2.980167534089559,RSA,ROU,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,https://www.iihf.com//pdf/855/ihw855901_77a_3_0
3,ROU,15,RSA,20,0.4597317785509485,0.3698555294062249,RSA,ROU,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,https://www.iihf.com//pdf/855/ihw855901_77a_3_0
3,RSA,21,ROU,25,2.2123744011179136,0.4467987760828871,RSA,ROU,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,https://www.iihf.com//pdf/855/ihw855901_77a_3_0
3,RSA,15,ROU,25,2.8836006121905777,0.4850081926246044,RSA,ROU,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,https://www.iihf.com//pdf/855/ihw855901_77a_3_0
3,RSA,21,ROU,25,5.009141269630024,0.523568110088326,RSA,ROU,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,https://www.iihf.com//pdf/855/ihw855901_77a_3_0
