jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,SWANEPOEL Shaylene,GK,0,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
20.0,van der MERWE Rachel,GK,0,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
9.0,van DOESBURGH Donne,D,1,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
10.0,LATEGAN Kaylin,D,1,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
18.0,SCHUURMAN Chloe,F,1,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
21.0,RHODE Dalene,F,1,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
4.0,HERRINGER Zoe,F,1,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
11.0,VERWEY Dominique,D,2,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
7.0,WILSON Kelley,D,2,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
16.0,MARAIS Inge,F,2,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
22.0,KEULER Tarryn,F,2,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
15.0,JAMIESON Kelly,F,2,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
2.0,McCLURG Sandra,D,3,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
14.0,KRUGER Claudia,D,3,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
24.0,MOLLER Elaine,F,3,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
13.0,BRITS Marione,F,3,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
8.0,LOUBSER Anchen,F,3,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
3.0,MARAIS Edine,F,4,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
17.0,BODENSTEIN Liza,F,4,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
6.0,DOLIVEIRA Chandre,F,4,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
,MARAIS Andre,He. Co.,5,RSA,True,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
25.0,NICIU Nadina,GK,0,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
1.0,KURKO Andrea,GK,0,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
12.0,BARTA Agota,D,1,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
2.0,ADORJAN Katalin,D,1,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
18.0,POPESCU Magdolna,F,1,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
13.0,OPREA Alina,F,1,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
23.0,BALINT Hanga,D,1,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
4.0,ANTAL Krisztina,D,2,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
19.0,MATHE Blanka,D,2,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
9.0,LACZKO-SZABO Zsuzsanna,F,2,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
14.0,CSISZER Timea,F,2,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
15.0,VOICU Ana,F,2,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
16.0,SZOPOS Katalin Csila,D,3,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
8.0,SARBU Adela,F,3,ROU,False,https://www.iihf.com//en/events/2020/wwiii/gamecenter/lineup/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou
