jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4
4,HERRINGER Zoe,RSA,True,F,0,0,0,2,0,2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,,
9,van DOESBURGH Donne,RSA,True,D,0,2,2,0,3,-1.0,0:00,0.0,0:00,1,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,,
10,LATEGAN Kaylin,RSA,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,,
18,SCHUURMAN Chloe,RSA,True,F,1,2,3,0,6,-2.0,0:00,0.0,0:00,4,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,,
21,RHODE Dalene,RSA,True,F,2,0,2,0,6,-2.0,0:00,0.0,0:00,1,0:00,2,0:00,3,0:00,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,,
7,WILSON Kelley,RSA,True,D,0,0,0,0,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,,
11,VERWEY Dominique,RSA,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,,
15,JAMIESON Kelly,RSA,True,F,1,0,1,0,2,-4.0,0:00,0.0,0:00,0,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,,
16,MARAIS Inge,RSA,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,,
22,KEULER Tarryn,RSA,True,F,0,0,0,0,1,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2020/wwiii/gamecenter/statistics/14668/1-rsa-vs-rou,https://www.iihf.com//en/events/2020/wwiii/gamecenter/playbyplay/14668/1-rsa-vs-rou,,
