jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,SWINNEN Charlotte,BEL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
20,van ORSHAEGEN Nina,BEL,True,GK,15,3,12,80.0,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
1,SIMONSEN Emilie,LTU,False,GK,45,2,43,95.56,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
20,BELICENKAITE Vilte,LTU,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
1,SIMONSEN Emilie,LTU,True,GK,23,3,20,86.96,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32467/2-ltu-vs-bul,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32467/2-ltu-vs-bul
20,BELICENKAITE Vilte,LTU,True,GK,6,0,6,100.0,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32467/2-ltu-vs-bul,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32467/2-ltu-vs-bul
1,STANKOVA Katrin,BUL,False,GK,9,2,7,77.78,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32467/2-ltu-vs-bul,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32467/2-ltu-vs-bul
25,GEORGIEVA Paulina,BUL,False,GK,12,6,6,50.0,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32467/2-ltu-vs-bul,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32467/2-ltu-vs-bul
1,SWINNEN Charlotte,BEL,True,GK,5,0,5,100.0,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32468/3-bel-vs-bul,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32468/3-bel-vs-bul
20,van ORSHAEGEN Nina,BEL,True,GK,11,0,11,100.0,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32468/3-bel-vs-bul,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32468/3-bel-vs-bul
