period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,LTU,7,BEL,20,2.2496631288261915,0.29002586750315995,BEL,LTU,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu,https://www.iihf.com//pdf/90/ihw090901_77a_3_0
1,LTU,10,BEL,20,0.23598865451157836,3.9779858665185466,BEL,LTU,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu,https://www.iihf.com//pdf/90/ihw090901_77a_3_0
2,BEL,19,LTU,1,3.0700484096353473,0.4850081926246044,BEL,LTU,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu,https://www.iihf.com//pdf/90/ihw090901_77a_3_0
3,BEL,9,LTU,1,5.456624385652204,0.2930867305166971,BEL,LTU,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu,https://www.iihf.com//pdf/90/ihw090901_77a_3_0
3,LTU,10,BEL,20,5.307463568006388,3.6709106709604367,BEL,LTU,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu,https://www.iihf.com//pdf/90/ihw090901_77a_3_0
1,LTU,10,BUL,25,5.382043836905888,3.709295605521112,LTU,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32467/2-ltu-vs-bul,https://www.iihf.com//pdf/90/ihw090902_77a_4_1
1,LTU,10,BUL,25,0.27328066661652883,1.5597708419620773,LTU,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32467/2-ltu-vs-bul,https://www.iihf.com//pdf/90/ihw090902_77a_4_1
1,LTU,10,BUL,25,5.1955924650400975,2.250689496851913,LTU,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32467/2-ltu-vs-bul,https://www.iihf.com//pdf/90/ihw090902_77a_4_1
1,BUL,21,LTU,1,2.5852783138142135,1.3296394281965416,LTU,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32467/2-ltu-vs-bul,https://www.iihf.com//pdf/90/ihw090902_77a_4_1
2,BUL,7,LTU,1,4.785399966798099,3.2456219491704097,LTU,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32467/2-ltu-vs-bul,https://www.iihf.com//pdf/90/ihw090902_77a_4_1
2,LTU,15,BUL,25,1.168248436252329,0.44662432829575227,LTU,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32467/2-ltu-vs-bul,https://www.iihf.com//pdf/90/ihw090902_77a_4_1
3,LTU,10,BUL,1,5.419334111279046,3.709295605521112,LTU,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32467/2-ltu-vs-bul,https://www.iihf.com//pdf/90/ihw090902_77a_4_1
3,LTU,3,BUL,1,5.270173013786414,2.5960613328453075,LTU,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32467/2-ltu-vs-bul,https://www.iihf.com//pdf/90/ihw090902_77a_4_1
3,BUL,7,LTU,1,0.7580557958477508,0.32840973183201205,LTU,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32467/2-ltu-vs-bul,https://www.iihf.com//pdf/90/ihw090902_77a_4_1
1,BEL,13,BUL,1,3.9650144504513625,0.600074167065328,BEL,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32468/3-bel-vs-bul,https://www.iihf.com//pdf/90/ihw090903_77a_3_0
1,BEL,10,BUL,1,0.7953439879780008,0.600161926074807,BEL,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32468/3-bel-vs-bul,https://www.iihf.com//pdf/90/ihw090903_77a_3_0
1,BEL,9,BUL,1,2.622565612743153,0.44662432829575227,BEL,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32468/3-bel-vs-bul,https://www.iihf.com//pdf/90/ihw090903_77a_3_0
2,BEL,6,BUL,1,1.280118778280543,0.4850081926246044,BEL,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32468/3-bel-vs-bul,https://www.iihf.com//pdf/90/ihw090903_77a_3_0
3,BEL,19,BUL,1,3.9277246959409466,0.3698555294062249,BEL,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32468/3-bel-vs-bul,https://www.iihf.com//pdf/90/ihw090903_77a_3_0
3,BEL,3,BUL,1,5.34475356253273,0.17784630828883863,BEL,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32468/3-bel-vs-bul,https://www.iihf.com//pdf/90/ihw090903_77a_3_0
3,BEL,6,BUL,1,0.7580537136048426,3.517373073181382,BEL,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32468/3-bel-vs-bul,https://www.iihf.com//pdf/90/ihw090903_77a_3_0
3,BEL,6,BUL,1,0.27328066661652883,3.555758007742057,BEL,BUL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32468/3-bel-vs-bul,https://www.iihf.com//pdf/90/ihw090903_77a_3_0
2,BEL,17,LTU,1,2.734437383550705,0.33164557774859604,LTU,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32469/4-ltu-vs-bel,https://www.iihf.com//pdf/90/ihw090904_77a_3_0
3,BEL,6,LTU,1,5.419334111279046,2.0587680347440056,LTU,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32469/4-ltu-vs-bel,https://www.iihf.com//pdf/90/ihw090904_77a_3_0
3,BEL,6,LTU,1,0.6088928760435811,0.4082399288509886,LTU,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32469/4-ltu-vs-bel,https://www.iihf.com//pdf/90/ihw090904_77a_3_0
3,BEL,13,LTU,1,1.0563756486587368,3.363748786624671,LTU,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32469/4-ltu-vs-bel,https://www.iihf.com//pdf/90/ihw090904_77a_3_0
3,BEL,9,LTU,1,0.12411956912389611,3.901217067629019,LTU,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32469/4-ltu-vs-bel,https://www.iihf.com//pdf/90/ihw090904_77a_3_0
3,BEL,6,LTU,20,5.643075757517995,1.8284616380754235,LTU,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32469/4-ltu-vs-bel,https://www.iihf.com//pdf/90/ihw090904_77a_3_0
3,BEL,17,LTU,20,5.531204934398521,2.6730923385314496,LTU,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32469/4-ltu-vs-bel,https://www.iihf.com//pdf/90/ihw090904_77a_3_0
3,BEL,19,LTU,20,0.7580537136048426,0.5617775266300433,LTU,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32469/4-ltu-vs-bel,https://www.iihf.com//pdf/90/ihw090904_77a_3_0
1,LTU,15,BUL,1,5.083722161783365,0.17793406729831762,BUL,LTU,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32470/5-bul-vs-ltu,https://www.iihf.com//pdf/90/ihw090905_77a_3_0
1,LTU,10,BUL,1,2.9954683564747344,0.10116473329287867,BUL,LTU,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32470/5-bul-vs-ltu,https://www.iihf.com//pdf/90/ihw090905_77a_3_0
1,LTU,3,BUL,1,0.049539150343265365,2.1738329389529065,BUL,LTU,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32470/5-bul-vs-ltu,https://www.iihf.com//pdf/90/ihw090905_77a_3_0
2,BUL,14,LTU,1,4.449788017302419,3.4791641917555762,BUL,LTU,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32470/5-bul-vs-ltu,https://www.iihf.com//pdf/90/ihw090905_77a_3_0
2,BUL,7,LTU,1,5.1955924650400975,0.32840973183201205,BUL,LTU,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32470/5-bul-vs-ltu,https://www.iihf.com//pdf/90/ihw090905_77a_3_0
1,BEL,9,BUL,1,5.009141613037048,3.747679469849964,BUL,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32471/6-bul-vs-bel,https://www.iihf.com//pdf/90/ihw090906_77a_3_0
1,BEL,19,BUL,1,1.6903097931396833,3.8628332033001667,BUL,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32471/6-bul-vs-bel,https://www.iihf.com//pdf/90/ihw090906_77a_3_0
1,BEL,23,BUL,1,5.419334111279046,1.5212992186237462,BUL,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32471/6-bul-vs-bel,https://www.iihf.com//pdf/90/ihw090906_77a_3_0
1,BEL,19,BUL,1,4.822690241171258,0.2930867305166971,BUL,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32471/6-bul-vs-bel,https://www.iihf.com//pdf/90/ihw090906_77a_3_0
2,BEL,6,BUL,1,5.419333910034602,1.5213864425173136,BUL,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32471/6-bul-vs-bel,https://www.iihf.com//pdf/90/ihw090906_77a_3_0
3,BEL,9,BUL,1,2.2496636488056847,0.44662432829575227,BUL,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32471/6-bul-vs-bel,https://www.iihf.com//pdf/90/ihw090906_77a_3_0
3,BEL,9,BUL,1,4.636238869305466,0.4082399288509886,BUL,BEL,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32471/6-bul-vs-bel,https://www.iihf.com//pdf/90/ihw090906_77a_3_0
