jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url
6,de GUCHTENAERE Lotte,BEL,True,F,0,0,0,2,15,-1.0,0:00,0.0,0:00,7,0:00,5,0:00,3,0:00,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
9,STEENO Anke,BEL,True,F,1,0,1,2,10,0.0,0:00,0.0,0:00,3,0:00,1,0:00,6,0:00,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
11,LEYEN Eline,BEL,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
18,van CALSTER Chinouk,BEL,True,D,0,0,0,6,7,1.0,0:00,0.0,0:00,0,0:00,1,0:00,6,0:00,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
19,BOSMANS Femke,BEL,True,F,1,0,1,2,3,0.0,0:00,0.0,0:00,0,0:00,2,0:00,1,0:00,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
10,BOON Cato,BEL,True,F,0,0,0,0,3,0.0,0:00,0.0,0:00,2,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
12,WILLEMOT Roosje,BEL,True,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
13,de WOLF Renee,BEL,True,F,0,0,0,4,2,1.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
17,PAULISSEN louise,BEL,True,F,0,0,0,0,2,0.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
21,HOREMANS Petra,BEL,True,D,0,0,0,2,1,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
2,LIEDTS Sigrid,BEL,True,D,0,0,0,0,2,-1.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
3,de TERWANGNE Audrey,BEL,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
4,VETTERS Britt,BEL,True,D,0,0,0,2,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/statistics/32466/1-bel-vs-ltu,https://www.iihf.com//en/events/2022/wwiiia/gamecenter/playbyplay/32466/1-bel-vs-ltu
