jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
20.0,SADOVIC Hana,GK,0,BIH,True,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/lineup/32458/1-bih-vs-isr,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/playbyplay/32458/1-bih-vs-isr
1.0,PALDUM Zejneb,GK,0,BIH,True,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/lineup/32458/1-bih-vs-isr,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/playbyplay/32458/1-bih-vs-isr
11.0,VIDEN Nada,D,1,BIH,True,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/lineup/32458/1-bih-vs-isr,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/playbyplay/32458/1-bih-vs-isr
6.0,SOSE Amila,D,1,BIH,True,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/lineup/32458/1-bih-vs-isr,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/playbyplay/32458/1-bih-vs-isr
21.0,SOPOVIC Emina,F,1,BIH,True,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/lineup/32458/1-bih-vs-isr,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/playbyplay/32458/1-bih-vs-isr
15.0,KAPIC Irma,F,1,BIH,True,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/lineup/32458/1-bih-vs-isr,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/playbyplay/32458/1-bih-vs-isr
9.0,MULAZIMOVIC Hana,F,1,BIH,True,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/lineup/32458/1-bih-vs-isr,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/playbyplay/32458/1-bih-vs-isr
5.0,HODZIC Nejra,D,2,BIH,True,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/lineup/32458/1-bih-vs-isr,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/playbyplay/32458/1-bih-vs-isr
10.0,KRUPALIJA Emina,F,2,BIH,True,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/lineup/32458/1-bih-vs-isr,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/playbyplay/32458/1-bih-vs-isr
7.0,MULIC Neira,F,2,BIH,True,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/lineup/32458/1-bih-vs-isr,https://www.iihf.com//en/events/2022/wwiiib/gamecenter/playbyplay/32458/1-bih-vs-isr
