jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,DEBNAROVA Livia,SVK,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
25,MEDVIDOVA Laura,SVK,True,GK,41,4,37,90.24,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
29,HESOVA Michaela,CZE,False,GK,16,0,16,100.0,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
30,DALECKA Barbora,CZE,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30714/1-svk-vs-cze,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30714/1-svk-vs-cze
1,MACLEOD Hailey,CAN,True,GK,17,2,15,88.24,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
29,PIETERSEN Mari,CAN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
30,KYRKKO Emilia,FIN,False,GK,40,0,40,100.0,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
31,TARKIAINEN Hannele,FIN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30715/2-can-vs-fin,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30715/2-can-vs-fin
1,FAVRE Margaux,SUI,True,GK,20,1,19,95.0,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30716/3-sui-vs-ger,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30716/3-sui-vs-ger
29,HAENER Nadia,SUI,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30716/3-sui-vs-ger,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30716/3-sui-vs-ger
20,BRAMMEN Sara,GER,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30716/3-sui-vs-ger,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30716/3-sui-vs-ger
25,LUBY Felicity,GER,False,GK,27,0,27,100.0,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30716/3-sui-vs-ger,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30716/3-sui-vs-ger
1,JONSSON Lisa,SWE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30717/4-swe-vs-usa,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30717/4-swe-vs-usa
30,SVENSSON TRAFF Ebba,SWE,True,GK,47,6,41,87.23,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30717/4-swe-vs-usa,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30717/4-swe-vs-usa
29,BERGMANN Annelies,USA,False,GK,21,1,20,95.24,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30717/4-swe-vs-usa,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30717/4-swe-vs-usa
30,McNAUGHTON Ava,USA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30717/4-swe-vs-usa,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30717/4-swe-vs-usa
29,HESOVA Michaela,CZE,True,GK,11,1,10,90.91,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30718/5-cze-vs-ger,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30718/5-cze-vs-ger
30,DALECKA Barbora,CZE,True,GK,3,1,2,66.67,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30718/5-cze-vs-ger,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30718/5-cze-vs-ger
20,BRAMMEN Sara,GER,False,GK,33,6,27,81.82,https://www.iihf.com//en/events/2022/ww18/gamecenter/statistics/30718/5-cze-vs-ger,https://www.iihf.com//en/events/2022/ww18/gamecenter/playbyplay/30718/5-cze-vs-ger
