period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
2,CAN,9,SWE,1,1.0503661042397887,0.4369961748334883,https://www.iihf.com//pdf/704/ihw704a01_77a_3_0,SWE,CAN,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can
1,CAN,20,SWE,1,2.961217151676397,0.5337170436991587,https://www.iihf.com//pdf/704/ihw704a01_77a_3_0,SWE,CAN,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can
2,SWE,2,CAN,30,1.6202690345458233,0.9207121077214642,https://www.iihf.com//pdf/704/ihw704a01_77a_3_0,SWE,CAN,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can
1,FIN,23,JPN,1,3.8663584294573994,0.5336648145205074,https://www.iihf.com//pdf/704/ihw704b02_77a_3_0,FIN,JPN,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6547/2-fin-vs-jpn
1,JPN,14,FIN,1,4.771498558004627,1.5977661829001173,https://www.iihf.com//pdf/704/ihw704b02_77a_3_0,FIN,JPN,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6547/2-fin-vs-jpn
2,FIN,23,JPN,1,4.1680700433219275,0.9850355904634469,https://www.iihf.com//pdf/704/ihw704b02_77a_3_0,FIN,JPN,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6547/2-fin-vs-jpn
1,USA,6,RUS,29,3.464073700737363,0.9850875746535279,https://www.iihf.com//pdf/704/ihw704a03_77a_1_0,USA,RUS,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6548/3-usa-vs-rus
2,RUS,14,USA,1,3.0617889720173275,0.5660639583758216,https://www.iihf.com//pdf/704/ihw704a03_77a_1_0,USA,RUS,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6548/3-usa-vs-rus
1,RUS,16,USA,1,1.1509378142081024,1.629902547813948,https://www.iihf.com//pdf/704/ihw704a03_77a_1_0,USA,RUS,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6548/3-usa-vs-rus
2,USA,16,RUS,29,5.173784234459759,3.1774588757293434,https://www.iihf.com//pdf/704/ihw704a03_77a_1_0,USA,RUS,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6548/3-usa-vs-rus
2,USA,20,RUS,29,4.838546170747148,1.9200704347955848,https://www.iihf.com//pdf/704/ihw704a03_77a_1_0,USA,RUS,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6548/3-usa-vs-rus
