period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,CAN,12,RUS,30,0.5716038394996008,0.408414911754035,CAN,RUS,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus,https://www.iihf.com//pdf/886/ihw886a01_77a_4_0
2,CAN,7,RUS,30,0.907214551166104,3.5143122101678443,CAN,RUS,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus,https://www.iihf.com//pdf/886/ihw886a01_77a_4_0
3,RUS,7,CAN,1,0.6088928760435811,0.520332264171742,CAN,RUS,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus,https://www.iihf.com//pdf/886/ihw886a01_77a_4_0
3,RUS,7,CAN,1,0.31057094098968696,2.4011656965015193,CAN,RUS,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus,https://www.iihf.com//pdf/886/ihw886a01_77a_4_0
4,CAN,26,RUS,30,0.49702222517966466,2.9416076166258374,CAN,RUS,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus,https://www.iihf.com//pdf/886/ihw886a01_77a_4_0
1,CZE,7,SUI,1,3.8158533529587295,2.554703294280574,SUI,CZE,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14598/2-sui-vs-cze,https://www.iihf.com//pdf/886/ihw886b02_77a_4_0
3,SUI,4,CZE,1,3.6666930063880754,0.2920625186621675,SUI,CZE,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14598/2-sui-vs-cze,https://www.iihf.com//pdf/886/ihw886b02_77a_4_0
4,SUI,24,CZE,1,3.0327596819270695,0.408414911754035,SUI,CZE,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14598/2-sui-vs-cze,https://www.iihf.com//pdf/886/ihw886b02_77a_4_0
1,USA,18,FIN,31,4.748109692424942,1.4062332441830225,USA,FIN,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14599/3-usa-vs-fin,https://www.iihf.com//pdf/886/ihw886a03_77a_3_0
1,FIN,22,USA,1,5.046434156241682,3.4407797923108125,USA,FIN,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14599/3-usa-vs-fin,https://www.iihf.com//pdf/886/ihw886a03_77a_3_0
