jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
1.0,GASCON Eve,GK,0,CAN,True,https://www.iihf.com//en/events/2020/ww18/gamecenter/lineup/14597/1-can-vs-rus,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus
30.0,OSBORNE Kayle,GK,0,CAN,True,https://www.iihf.com//en/events/2020/ww18/gamecenter/lineup/14597/1-can-vs-rus,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus
2.0,KETTYLE Charlotte,D,1,CAN,True,https://www.iihf.com//en/events/2020/ww18/gamecenter/lineup/14597/1-can-vs-rus,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus
4.0,COOPER Kendall,D,1,CAN,True,https://www.iihf.com//en/events/2020/ww18/gamecenter/lineup/14597/1-can-vs-rus,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus
7.0,LABAD Maya,F,1,CAN,True,https://www.iihf.com//en/events/2020/ww18/gamecenter/lineup/14597/1-can-vs-rus,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus
12.0,NAUD Ann-Frederik,F,1,CAN,True,https://www.iihf.com//en/events/2020/ww18/gamecenter/lineup/14597/1-can-vs-rus,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus
11.0,CHERKOWSKI Anne,F,1,CAN,True,https://www.iihf.com//en/events/2020/ww18/gamecenter/lineup/14597/1-can-vs-rus,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus
26.0,GOSLING Nicole,D,2,CAN,True,https://www.iihf.com//en/events/2020/ww18/gamecenter/lineup/14597/1-can-vs-rus,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus
25.0,GIAQUINTO Tamara,D,2,CAN,True,https://www.iihf.com//en/events/2020/ww18/gamecenter/lineup/14597/1-can-vs-rus,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus
21.0,WOZNIEWICZ Sarah,F,2,CAN,True,https://www.iihf.com//en/events/2020/ww18/gamecenter/lineup/14597/1-can-vs-rus,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus
8.0,WHEELER Maddi,F,2,CAN,True,https://www.iihf.com//en/events/2020/ww18/gamecenter/lineup/14597/1-can-vs-rus,https://www.iihf.com//en/events/2020/ww18/gamecenter/playbyplay/14597/1-can-vs-rus
