jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
7,OLSSON Vendela,SWE,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
8,LIDMAN Nathalie,SWE,True,D,0,0,0,2,1,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
14,ANTONSSON Jenny,SWE,True,F,0,0,0,2,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
18,GRUNDSTROM Maja,SWE,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
28,JOHANSSON Thea,SWE,True,F,0,0,0,2,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
2,JOHANSSON Gabriella,SWE,True,D,1,0,1,0,2,1.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
9,BOUVENG Josefin,SWE,True,F,0,0,0,2,2,0.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
12,LJUNGBLOM Lina,SWE,True,F,0,0,0,4,1,0.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
16,BLOM Lova,SWE,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
24,BERGGREN Malou,SWE,True,D,0,0,0,4,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
4,AHO Selina,SWE,True,D,0,0,0,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
10,WAXIN Mina,SWE,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
15,MOGREN Ronja,SWE,True,F,0,1,1,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
20,FORSBERG Estelle,SWE,True,F,0,1,1,0,1,1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
21,THUVIK Hanna,SWE,True,F,0,0,0,0,2,1.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
6,BEVERIN Maja,SWE,True,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
17,SVENSSON Elin,SWE,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
23,FORSGREN Emma,SWE,True,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
26,LINDBERG Maria,SWE,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
27,NORDLUND Felicia,SWE,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18/gamecenter/statistics/6546/1-swe-vs-can,https://www.iihf.com//en/events/2019/ww18/gamecenter/playbyplay/6546/1-swe-vs-can,,,,
