jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,TAKENAKA Ririna,JPN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra
25,KAWAGUCHI Riko,JPN,True,GK,12,0,12,100.0,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra
20,GILLODES Eline,FRA,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra
25,ORIGLIO Anita,FRA,False,GK,41,3,38,92.68,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra
1,JOHANSEN Marthe Kongstrop,NOR,True,GK,28,7,21,75.0,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30882/2-nor-vs-hun,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30882/2-nor-vs-hun
20,LIND Mia,NOR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30882/2-nor-vs-hun,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30882/2-nor-vs-hun
1,REVESZ Zsuzsa,HUN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30882/2-nor-vs-hun,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30882/2-nor-vs-hun
25,SZABO Fruzsina,HUN,False,GK,22,1,21,95.45,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30882/2-nor-vs-hun,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30882/2-nor-vs-hun
1,REGINE Carlotta,ITA,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30883/3-ita-vs-nor,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30883/3-ita-vs-nor
20,GIRARDI Ilaria,ITA,True,GK,41,2,39,95.12,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30883/3-ita-vs-nor,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30883/3-ita-vs-nor
1,JOHANSEN Marthe Kongstrop,NOR,False,GK,33,2,31,93.94,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30883/3-ita-vs-nor,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30883/3-ita-vs-nor
20,LIND Mia,NOR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30883/3-ita-vs-nor,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30883/3-ita-vs-nor
