period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
1,ITA,7,HUN,20,4.5703564461099155,0.6286030361070258,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
2,HUN,21,ITA,25,3.6316922515015295,0.5660639583758216,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,HUN,13,ITA,25,0.6145569122679256,3.5965340717046934,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
3,HUN,17,ITA,25,0.4804637556428154,1.4688022602804458,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
3,HUN,17,ITA,25,2.9947409580476583,0.5660609738505848,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,GER,19,DEN,25,4.603880259705767,0.3725134247642412,https://www.iihf.com//pdf/705/ihw705902_77a_3_0,DEN,GER,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6499/2-den-vs-ger
1,GER,13,DEN,25,4.369214598964992,0.43694234470710747,https://www.iihf.com//pdf/705/ihw705902_77a_3_0,DEN,GER,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6499/2-den-vs-ger
1,GER,10,DEN,25,2.860647124872404,0.43699507130650783,https://www.iihf.com//pdf/705/ihw705902_77a_3_0,DEN,GER,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6499/2-den-vs-ger
1,GER,23,DEN,25,0.44693926976728204,0.40470152143597415,https://www.iihf.com//pdf/705/ihw705902_77a_3_0,DEN,GER,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6499/2-den-vs-ger
2,DEN,3,GER,20,0.5810340069355958,1.823295214313783,https://www.iihf.com//pdf/705/ihw705902_77a_3_0,DEN,GER,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6499/2-den-vs-ger
2,GER,15,DEN,20,3.899879592351839,0.5982003312823014,https://www.iihf.com//pdf/705/ihw705902_77a_3_0,DEN,GER,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6499/2-den-vs-ger
1,SVK,15,AUT,20,0.5810331058966646,1.629902547813948,https://www.iihf.com//pdf/705/ihw705903_77a_3_0,AUT,SVK,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6500/3-aut-vs-svk
1,ITA,18,DEN,20,0.6480816341273001,3.3064198862846426,https://www.iihf.com//pdf/705/ihw705904_77a_3_0,ITA,DEN,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6501/4-ita-vs-den
2,DEN,23,ITA,1,1.553222015139834,3.1129244865373042,https://www.iihf.com//pdf/705/ihw705904_77a_3_0,ITA,DEN,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6501/4-ita-vs-den
2,DEN,19,ITA,1,1.0168422906439367,3.2741813695986313,https://www.iihf.com//pdf/705/ihw705904_77a_3_0,ITA,DEN,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6501/4-ita-vs-den
2,ITA,11,DEN,20,4.90559378348967,3.4677308157204894,https://www.iihf.com//pdf/705/ihw705904_77a_3_0,ITA,DEN,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6501/4-ita-vs-den
4,ITA,18,DEN,20,1.083889917835641,2.855049852751023,https://www.iihf.com//pdf/705/ihw705904_77a_3_0,ITA,DEN,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6501/4-ita-vs-den
1,HUN,17,SVK,1,4.80502210685069,1.7912106251061681,https://www.iihf.com//pdf/705/ihw705905_77a_3_0,SVK,HUN,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6502/5-svk-vs-hun
2,HUN,22,SVK,1,5.006165202603453,0.8562314399836848,https://www.iihf.com//pdf/705/ihw705905_77a_3_0,SVK,HUN,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6502/5-svk-vs-hun
3,SVK,13,HUN,20,5.140260428088498,3.4030889836199307,https://www.iihf.com//pdf/705/ihw705905_77a_3_0,SVK,HUN,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6502/5-svk-vs-hun
3,SVK,23,HUN,20,0.9162711696092751,1.0817570894909894,https://www.iihf.com//pdf/705/ihw705905_77a_3_0,SVK,HUN,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6502/5-svk-vs-hun
3,SVK,12,HUN,20,0.8827473632380141,1.2431184309355987,https://www.iihf.com//pdf/705/ihw705905_77a_3_0,SVK,HUN,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6502/5-svk-vs-hun
2,GER,5,AUT,1,4.670927886897472,3.0142083298099354,https://www.iihf.com//pdf/705/ihw705906_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6503/6-ger-vs-aut
2,GER,23,AUT,1,1.2179849136115024,1.14623974691226,https://www.iihf.com//pdf/705/ihw705906_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6503/6-ger-vs-aut
3,GER,13,AUT,1,0.5139875620140766,0.6626262827240756,https://www.iihf.com//pdf/705/ihw705906_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6503/6-ger-vs-aut
3,GER,15,AUT,1,0.5810331058966646,3.403140715390699,https://www.iihf.com//pdf/705/ihw705906_77a_3_0,GER,AUT,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6503/6-ger-vs-aut
