period,team,shooter_number,opponent,goalie_number,x,y,team1,team2,game_url,shot_chart_url
1,JPN,21,FRA,20,4.151465822317153,0.4467987760828871,FRA,JPN,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn,https://www.iihf.com//pdf/856/ihw856901_77a_3_0
2,JPN,12,FRA,20,4.636241515837104,2.78824553686574,FRA,JPN,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn,https://www.iihf.com//pdf/856/ihw856901_77a_3_0
2,JPN,15,FRA,20,0.08682958477508651,0.17793406729831762,FRA,JPN,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn,https://www.iihf.com//pdf/856/ihw856901_77a_3_0
3,JPN,21,FRA,20,5.34475356253273,1.63671408863874,FRA,JPN,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn,https://www.iihf.com//pdf/856/ihw856901_77a_3_0
3,JPN,12,FRA,20,5.232882739413255,3.21047339564223,FRA,JPN,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn,https://www.iihf.com//pdf/856/ihw856901_77a_3_0
1,GER,8,ITA,25,0.16141119909502263,1.8284616380754235,ITA,GER,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14844/2-ita-vs-ger,https://www.iihf.com//pdf/856/ihw856902_77a_3_0
1,GER,23,ITA,25,5.493915524354538,1.7899894796211808,ITA,GER,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14844/2-ita-vs-ger,https://www.iihf.com//pdf/856/ihw856902_77a_3_0
2,GER,21,ITA,25,0.31057094098968696,2.8266299363105043,ITA,GER,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14844/2-ita-vs-ger,https://www.iihf.com//pdf/856/ihw856902_77a_3_0
3,GER,6,ITA,25,0.16141119909502263,0.6385457904036596,ITA,GER,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14844/2-ita-vs-ger,https://www.iihf.com//pdf/856/ihw856902_77a_3_0
3,GER,8,ITA,25,0.6461812949161565,3.6709106709604367,ITA,GER,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14844/2-ita-vs-ger,https://www.iihf.com//pdf/856/ihw856902_77a_3_0
2,DEN,18,HUN,20,0.3478631554431727,1.4830025781884615,DEN,HUN,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14845/3-den-vs-hun,https://www.iihf.com//pdf/856/ihw856903_77a_5_0
3,HUN,13,DEN,25,0.3478631554431727,3.594054648177342,DEN,HUN,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14845/3-den-vs-hun,https://www.iihf.com//pdf/856/ihw856903_77a_5_0
1,JPN,18,ITA,1,5.27017484029811,1.6749240402963688,JPN,ITA,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14846/4-jpn-vs-ita,https://www.iihf.com//pdf/856/ihw856904_77a_3_0
2,JPN,13,ITA,1,0.23599039224337062,0.36976830551265705,JPN,ITA,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14846/4-jpn-vs-ita,https://www.iihf.com//pdf/856/ihw856904_77a_3_0
2,JPN,12,ITA,1,0.3851512298046321,2.6730923385314496,JPN,ITA,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14846/4-jpn-vs-ita,https://www.iihf.com//pdf/856/ihw856904_77a_3_0
2,JPN,14,ITA,1,5.531204934398521,0.9074110343041406,JPN,ITA,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14846/4-jpn-vs-ita,https://www.iihf.com//pdf/856/ihw856904_77a_3_0
3,JPN,14,ITA,1,2.6971486558424274,0.5619525095330902,JPN,ITA,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14846/4-jpn-vs-ita,https://www.iihf.com//pdf/856/ihw856904_77a_3_0
1,HUN,13,FRA,20,5.419334111279046,0.9071488275075263,HUN,FRA,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14847/5-hun-vs-fra,https://www.iihf.com//pdf/856/ihw856905_77a_3_0
2,FRA,21,HUN,20,0.7207634392316845,1.8286366209784704,HUN,FRA,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14847/5-hun-vs-fra,https://www.iihf.com//pdf/856/ihw856905_77a_3_0
2,HUN,12,FRA,20,5.5312084109661965,2.442785941862867,HUN,FRA,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14847/5-hun-vs-fra,https://www.iihf.com//pdf/856/ihw856905_77a_3_0
2,HUN,17,FRA,20,3.741274620708012,0.3700305123092713,HUN,FRA,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14847/5-hun-vs-fra,https://www.iihf.com//pdf/856/ihw856905_77a_3_0
3,HUN,8,FRA,20,5.456624385652204,1.4062332441830225,HUN,FRA,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14847/5-hun-vs-fra,https://www.iihf.com//pdf/856/ihw856905_77a_3_0
1,GER,6,DEN,25,0.2732815411232366,1.5213864425173136,GER,DEN,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14848/6-ger-vs-den,https://www.iihf.com//pdf/856/ihw856906_77a_3_0
3,GER,7,DEN,25,0.16141119909502263,1.5567094438326285,GER,DEN,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14848/6-ger-vs-den,https://www.iihf.com//pdf/856/ihw856906_77a_3_0
3,GER,10,DEN,25,0.1986999268033005,3.517373073181382,GER,DEN,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14848/6-ger-vs-den,https://www.iihf.com//pdf/856/ihw856906_77a_3_0
3,ITA,8,FRA,20,0.16140984349705428,3.901217067629019,FRA,ITA,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14849/7-fra-vs-ita,https://www.iihf.com//pdf/856/ihw856907_77a_3_0
3,FRA,19,ITA,25,0.1986999268033005,1.7900767035147482,FRA,ITA,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14849/7-fra-vs-ita,https://www.iihf.com//pdf/856/ihw856907_77a_3_0
3,FRA,16,ITA,25,2.8836006121905777,0.3698555294062249,FRA,ITA,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14849/7-fra-vs-ita,https://www.iihf.com//pdf/856/ihw856907_77a_3_0
1,JPN,18,DEN,25,5.45662679664626,0.6385457904036596,JPN,DEN,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14850/8-jpn-vs-den,https://www.iihf.com//pdf/856/ihw856908_77a_3_0
1,JPN,24,DEN,25,5.3820451823263245,0.638720773306706,JPN,DEN,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14850/8-jpn-vs-den,https://www.iihf.com//pdf/856/ihw856908_77a_3_0
1,JPN,12,DEN,25,0.5716038394996008,2.1357112814206687,JPN,DEN,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14850/8-jpn-vs-den,https://www.iihf.com//pdf/856/ihw856908_77a_3_0
