jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
20.0,ROGER Sabrina,GK,0,FRA,True,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/lineup/14843/1-fra-vs-jpn,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn
1.0,GILLODES Eline,GK,0,FRA,True,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/lineup/14843/1-fra-vs-jpn,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn
15.0,MOREL Emma,D,1,FRA,True,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/lineup/14843/1-fra-vs-jpn,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn
7.0,QUARTO Lucie,D,1,FRA,True,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/lineup/14843/1-fra-vs-jpn,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn
21.0,le SCODAN Manon,F,1,FRA,True,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/lineup/14843/1-fra-vs-jpn,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn
19.0,MESPLEDE Julia,F,1,FRA,True,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/lineup/14843/1-fra-vs-jpn,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn
9.0,NUTTIN Leane,F,1,FRA,True,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/lineup/14843/1-fra-vs-jpn,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn
17.0,HARRISON Alexandra,D,2,FRA,True,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/lineup/14843/1-fra-vs-jpn,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn
18.0,ZILLIOX Elina,D,2,FRA,True,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/lineup/14843/1-fra-vs-jpn,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn
22.0,CASANOVA Shana,F,2,FRA,True,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/lineup/14843/1-fra-vs-jpn,https://www.iihf.com//en/events/2020/ww18ia/gamecenter/playbyplay/14843/1-fra-vs-jpn
