period,team,player_number,shot_type,x,y,shot_chart_url,team1,team2,game_url
1,HUN,17,Shot,64.02847390126982,-13.244302060722546,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,HUN,13,Goal,71.44516691488869,-2.9575717582745966,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,HUN,15,Shot,53.48146537150211,45.14020880244084,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,HUN,16,Shot,68.06115638330635,21.403893702358516,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,HUN,23,Shot,63.40806300984616,19.217141264235266,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,HUN,17,Shot,69.92238905757728,12.678253594476104,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,HUN,15,Shot,62.477458360493586,-30.753536846810718,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,HUN,13,Shot,70.23258281550622,17.03090070911894,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,HUN,16,Shot,67.13055173395378,24.839411212562638,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,ITA,24,Shot,-60.31753270665854,-16.055186977095502,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,ITA,7,Goal,-73.72607280942916,-3.2871714613145286,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,ITA,23,Shot,-84.2033987776003,28.586741962244503,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,ITA,24,Shot,-57.83587745318109,-1.0638282137658095,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
1,ITA,2,Shot,-33.01939504510386,46.72112122517076,https://www.iihf.com//pdf/705/ihw705901_77a_3_0,HUN,ITA,https://www.iihf.com//en/events/2019/ww18ia/gamecenter/playbyplay/6498/1-hun-vs-ita
