jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
7,SATO Reina,JPN,True,D,1,0,1,0,5,1.0,0:00,0.0,0:00,3,0:00,2,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
8,SATO Kohane,JPN,True,D,0,2,2,2,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
15,KAMADA Minami,JPN,True,F,0,1,1,0,7,1.0,0:00,0.0,0:00,2,0:00,4,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
17,SHIMOMUKAI Hina,JPN,True,F,1,0,1,2,5,1.0,0:00,0.0,0:00,1,0:00,2,0:00,2,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
18,ITO Makoto,JPN,True,F,0,0,0,0,5,1.0,0:00,0.0,0:00,1,0:00,1,0:00,3,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
2,KISHIBE Sarasa,JPN,True,D,0,0,0,0,2,1.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
3,SHINODA An,JPN,True,D,0,0,0,2,2,0.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
11,NORO Riri,JPN,True,F,1,0,1,0,4,1.0,0:00,0.0,0:00,2,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
19,NORO Rio,JPN,True,F,0,1,1,2,3,1.0,0:00,0.0,0:00,1,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
21,KIYOKAWA Ruka,JPN,True,F,0,1,1,4,5,1.0,0:00,0.0,0:00,1,0:00,4,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
9,OKUMURA Natsuki,JPN,True,D,0,0,0,0,2,1.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
10,UMEMORI Harua,JPN,True,F,0,0,0,0,1,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
13,ITO Komomo,JPN,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
23,MURAKAMI Nagomi,JPN,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
14,MATSUMOTO Riko,JPN,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
16,TANABE Masaki,JPN,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
1,TAKENAKA Ririna,JPN,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/statistics/30881/1-jpn-vs-fra,https://www.iihf.com//en/events/2022/ww18ia/gamecenter/playbyplay/30881/1-jpn-vs-fra,,,,
