jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
20,ZHANG Zhaohan,CHN,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
25,HAN Yiyang,CHN,True,GK,23,2,21,91.3,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
1,NICHOLS Emma,GBR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
25,HOWARD Ella,GBR,False,GK,27,3,24,88.89,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
1,HUH Eun-Bee,KOR,True,GK,19,3,16,84.21,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
25,JANG Inhye,KOR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
1,LUGGIN Magdalena,AUT,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
20,LUGGIN Selma,AUT,False,GK,24,0,24,100.0,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
1,GRZYBOWSKA Helena,POL,True,GK,29,1,28,96.55,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14861/3-pol-vs-nor,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14861/3-pol-vs-nor
20,HARANCZYK Natalia,POL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14861/3-pol-vs-nor,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14861/3-pol-vs-nor
1,EKLE Kaja,NOR,False,GK,18,0,18,100.0,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14861/3-pol-vs-nor,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14861/3-pol-vs-nor
20,GLASO Tiril Sofie,NOR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14861/3-pol-vs-nor,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14861/3-pol-vs-nor
1,NICHOLS Emma,GBR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14862/4-gbr-vs-kor,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14862/4-gbr-vs-kor
25,HOWARD Ella,GBR,True,GK,26,0,26,100.0,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14862/4-gbr-vs-kor,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14862/4-gbr-vs-kor
1,HUH Eun-Bee,KOR,False,GK,28,1,27,96.43,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14862/4-gbr-vs-kor,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14862/4-gbr-vs-kor
25,JANG Inhye,KOR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14862/4-gbr-vs-kor,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14862/4-gbr-vs-kor
1,EKLE Kaja,NOR,True,GK,18,2,16,88.89,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14863/5-nor-vs-chn,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14863/5-nor-vs-chn
20,GLASO Tiril Sofie,NOR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14863/5-nor-vs-chn,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14863/5-nor-vs-chn
20,ZHANG Zhaohan,CHN,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14863/5-nor-vs-chn,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14863/5-nor-vs-chn
