period,team,shooter_number,opponent,goalie_number,x,y,shot_chart_url,team1,team2,game_url
2.0,FRA,16.0,CHN,1.0,1.0503661042397887,3.0807363818600555,https://www.iihf.com//pdf/706/ihw706901_77a_3_0,CHN,FRA,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6514/1-chn-vs-fra
1.0,FRA,5.0,CHN,20.0,1.0838902014655805,0.4994293340456397,https://www.iihf.com//pdf/706/ihw706901_77a_3_0,CHN,FRA,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6514/1-chn-vs-fra
1.0,FRA,8.0,CHN,20.0,2.257219286739849,2.306957846824752,https://www.iihf.com//pdf/706/ihw706901_77a_3_0,CHN,FRA,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6514/1-chn-vs-fra
1.0,FRA,24.0,CHN,20.0,1.8549356791446503,2.1780990120975217,https://www.iihf.com//pdf/706/ihw706901_77a_3_0,CHN,FRA,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6514/1-chn-vs-fra
1.0,FRA,16.0,CHN,20.0,1.9219832918871729,2.597123266581956,https://www.iihf.com//pdf/706/ihw706901_77a_3_0,CHN,FRA,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6514/1-chn-vs-fra
1.0,FRA,21.0,CHN,20.0,0.6480807186391867,0.437100524505309,https://www.iihf.com//pdf/706/ihw706901_77a_3_0,CHN,FRA,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6514/1-chn-vs-fra
3.0,FRA,12.0,CHN,1.0,4.637403332519582,3.1130806766913555,https://www.iihf.com//pdf/706/ihw706901_77a_3_0,CHN,FRA,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6514/1-chn-vs-fra
2.0,NOR,19.0,NED,1.0,4.704451700493324,1.98455209737511,https://www.iihf.com//pdf/706/ihw706902_77a_3_0,NED,NOR,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6515/2-ned-vs-nor
2.0,NOR,16.0,NED,1.0,1.888459116668166,3.0807363818600555,https://www.iihf.com//pdf/706/ihw706902_77a_3_0,NED,NOR,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6515/2-ned-vs-nor
1.0,NOR,12.0,NED,1.0,0.849223556866753,0.5015816736268266,https://www.iihf.com//pdf/706/ihw706902_77a_3_0,NED,NOR,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6515/2-ned-vs-nor
3.0,NOR,8.0,NED,1.0,5.441970547709978,0.4047553435437256,https://www.iihf.com//pdf/706/ihw706902_77a_3_0,NED,NOR,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6515/2-ned-vs-nor
2.0,GBR,15.0,POL,1.0,1.2850320235881116,2.2102369215617026,https://www.iihf.com//pdf/706/ihw706903_77a_4_0,GBR,POL,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6516/3-gbr-vs-pol
2.0,POL,24.0,GBR,25.0,4.670927138890843,1.6300084064127498,https://www.iihf.com//pdf/706/ihw706903_77a_4_0,GBR,POL,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6516/3-gbr-vs-pol
4.0,POL,24.0,GBR,25.0,2.6930280568931435,0.5015816736268266,https://www.iihf.com//pdf/706/ihw706903_77a_4_0,GBR,POL,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6516/3-gbr-vs-pol
2.0,NOR,14.0,CHN,20.0,1.0503661042397887,0.5983047896655838,https://www.iihf.com//pdf/706/ihw706904_77a_3_0,NOR,CHN,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6517/4-nor-vs-chn
2.0,NOR,5.0,CHN,20.0,4.536832632514063,2.659561175306038,https://www.iihf.com//pdf/706/ihw706904_77a_3_0,NOR,CHN,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6517/4-nor-vs-chn
1.0,NOR,12.0,CHN,20.0,1.3185547772044737,1.9846550673122196,https://www.iihf.com//pdf/706/ihw706904_77a_3_0,NOR,CHN,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6517/4-nor-vs-chn
1.0,NED,2.0,POL,1.0,3.7499510562305964,3.3683562128626745,https://www.iihf.com//pdf/706/ihw706905_77a_3_0,POL,NED,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6518/5-pol-vs-ned
1.0,NED,14.0,POL,20.0,3.296423438606291,1.981668637716989,https://www.iihf.com//pdf/706/ihw706905_77a_3_0,POL,NED,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6518/5-pol-vs-ned
1.0,NED,16.0,POL,1.0,5.261709587279022,2.2511740130386464,https://www.iihf.com//pdf/706/ihw706905_77a_3_0,POL,NED,https://www.iihf.com//en/events/2019/ww18ib/gamecenter/playbyplay/6518/5-pol-vs-ned
