jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
25.0,HAN Yiyang,GK,0,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
20.0,ZHANG Zhaohan,GK,0,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
19.0,du Sijia,D,1,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
16.0,ZHANG Shuqi,D,1,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
3.0,QU Yue,F,1,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
9.0,du Xinrui,F,1,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
7.0,ZHANG Yuqi,F,1,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
17.0,SUN Yuting,D,2,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
8.0,LIU Xin,D,2,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
13.0,GAO Ziye,F,2,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
24.0,ZHU Junfei,F,2,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
14.0,LI Qianhua,F,2,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
11.0,du Wanze,D,3,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
15.0,TIAN Yuwei,D,3,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
10.0,TIAN Boya,F,3,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
21.0,WANG Meihe,F,3,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
6.0,ZENG Youyou,F,3,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
22.0,WANG Yuxin,F,4,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
18.0,WU Sizhu,F,4,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
5.0,ZHANG Xinru,F,4,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
,FETTER Jim,He. Co.,5,CHN,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
25.0,HOWARD Ella,GK,0,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
1.0,NICHOLS Emma,GK,0,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
11.0,WAKELING Ellie,D,1,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
4.0,TAYLOR Jessie,D,1,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
14.0,GARBETT Grace,F,1,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
5.0,HARRIS Emily,F,1,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
13.0,HEADLAND Chloe,F,1,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
8.0,BEAL Lucy,D,2,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
12.0,PORTER Elouise,D,2,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
23.0,MORRISON Kaitlyn,D,2,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
22.0,WALSH Lydia,F,2,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
18.0,JONES Alice,F,2,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
15.0,NEEDHAM-POTTS Chloe,D,3,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
16.0,BURTON Megan,F,3,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
21.0,JACKSON Chamonix,F,3,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
17.0,FOY Mirren,F,3,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
10.0,MITCHELL Megan,F,3,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
2.0,CAMPBELL Sophie,F,4,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
19.0,TAIT Kiana,F,4,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
3.0,WALLACE Ellie,F,4,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
,SMITH Cheryl,He. Co.,5,GBR,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
1.0,HUH Eun-Bee,GK,0,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
25.0,JANG Inhye,GK,0,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
24.0,LEE Sojung,D,1,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
23.0,KWAK Seohyung,D,1,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
9.0,KANG Nara,F,1,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
18.0,CHOI Sieun,F,1,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
22.0,SONG Yunha,F,1,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
21.0,YOO Seoyoung,D,2,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
11.0,KIM Dowon,D,2,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
12.0,PARK Jiyoung,F,2,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
19.0,LEE Eunji,F,2,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
5.0,KANG Sihyun,F,2,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
2.0,PARK Minae,D,3,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
3.0,SHIM Seoyoung,D,3,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
16.0,WOO Seungmin,F,3,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
7.0,SHIN Seoyoon,F,3,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
14.0,AN Robyn Nahyun,F,3,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
13.0,KIM Soojung,D,4,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
10.0,KANG Eunbi,F,4,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
,KIM Sang Jun,He. Co.,5,KOR,True,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
20.0,LUGGIN Selma,GK,0,AUT,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
1.0,LUGGIN Magdalena,GK,0,AUT,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
12.0,MORTL Emma,D,1,AUT,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
17.0,SCHROFL Lisa,D,1,AUT,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
8.0,DAUBOCK Lena,F,1,AUT,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
6.0,ROPATSCH Valentina,F,1,AUT,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
18.0,KAHLHAMMER Ana,F,1,AUT,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
10.0,SIMONIS Vanessa,D,2,AUT,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
23.0,HENGELMULLER Karolina,D,2,AUT,False,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/lineup/14860/2-kor-vs-aut,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14860/2-kor-vs-aut
