jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,statistics_url,game_url
3,QU Yue,CHN,True,F,1,0,1,2,2,1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,1.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
7,ZHANG Yuqi,CHN,True,F,0,0,0,0,3,0.0,0:00,0.0,0:00,1,0:00,2,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
9,du Xinrui,CHN,True,F,0,0,0,2,5,0.0,0:00,0.0,0:00,2,0:00,2,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
16,ZHANG Shuqi,CHN,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
19,du Sijia,CHN,True,D,0,0,0,12,1,-1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
8,LIU Xin,CHN,True,D,0,0,0,2,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
13,GAO Ziye,CHN,True,F,0,0,0,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
14,LI Qianhua,CHN,True,F,0,2,2,0,5,1.0,0:00,0.0,0:00,2,0:00,2,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
17,SUN Yuting,CHN,True,D,0,0,0,2,2,0.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
24,ZHU Junfei,CHN,True,F,1,0,1,2,5,0.0,0:00,0.0,0:00,2,0:00,0,0:00,3,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
6,ZENG Youyou,CHN,True,F,1,0,1,0,2,1.0,0:00,0.0,0:00,0,0:00,0,0:00,2,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
10,TIAN Boya,CHN,True,F,0,0,0,0,1,1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
11,du Wanze,CHN,True,D,0,1,1,2,0,2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
15,TIAN Yuwei,CHN,True,D,0,0,0,0,1,3.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
21,WANG Meihe,CHN,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
5,ZHANG Xinru,CHN,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
18,WU Sizhu,CHN,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
22,WANG Yuxin,CHN,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
20,ZHANG Zhaohan,CHN,True,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
25,HAN Yiyang,CHN,True,GK,0,0,0,2,0,,,,,0,,0,,0,,0.0,,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
4,TAYLOR Jessie,GBR,False,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/statistics/14859/1-chn-vs-gbr,https://www.iihf.com//en/events/2020/ww18ib/gamecenter/playbyplay/14859/1-chn-vs-gbr
