jersey_number,Name,Pos,line_number,team,home,lineups_url,game_url
20.0,de ANTUNANO Miranda,GK,0,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
1.0,GARCIA Paola,GK,0,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
17.0,ROSALES Daniela,D,1,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
10.0,HAGERMAN Maria,D,1,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
3.0,LOREDO Nattalia,F,1,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
2.0,ROSALES Paola,F,1,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
8.0,GONZALEZ Lucero,D,1,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
11.0,AYALA Andrea,D,2,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
18.0,CUEVAS Renata,D,2,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
14.0,NEVAREZ Samantha,F,2,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
22.0,RIOS Ayleen,D,2,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
15.0,AGIS Evlyn,F,2,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
9.0,MERINO Emilia,D,3,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
24.0,PEREZ Sofia,D,3,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
23.0,YUNES Andrea,F,3,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
6.0,VINALS Luisa,F,3,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
4.0,CARRILLO Samantha,F,3,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
,de la GARMA Andres,He. Co.,4,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
1.0,WANG Chen-Hsin,GK,5,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
20.0,HSU Hsiang-Yun,GK,5,MEX,True,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
3.0,LIN Yang-Chi,D,0,TPE,False,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
12.0,CHANG Tsai-Chieh,D,0,TPE,False,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
24.0,HUANG Chun-Lin,F,0,TPE,False,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
10.0,HUANG Yun-Chu,F,0,TPE,False,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
9.0,TAO Sing-Lin,F,0,TPE,False,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
15.0,SHA Yun-Yun,F,1,TPE,False,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
16.0,CHEN Yu-Chia,D,1,TPE,False,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
7.0,TAN Su-Ting,F,1,TPE,False,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
6.0,WANG Hsuan,F,1,TPE,False,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
14.0,CHANG En Ni,F,1,TPE,False,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/lineup/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe
