jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
2,ROSALES Paola,MEX,True,F,1,0,1,2,2,0.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
3,LOREDO Nattalia,MEX,True,F,0,1,1,0,2,2.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
8,GONZALEZ Lucero,MEX,True,D,0,0,0,2,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
10,HAGERMAN Maria,MEX,True,D,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
17,ROSALES Daniela,MEX,True,D,0,0,0,0,2,-1.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
11,AYALA Andrea,MEX,True,D,0,1,1,0,3,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,3,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
14,NEVAREZ Samantha,MEX,True,F,1,0,1,4,1,-1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
15,AGIS Evlyn,MEX,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
18,CUEVAS Renata,MEX,True,D,0,0,0,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
22,RIOS Ayleen,MEX,True,D,0,0,0,2,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
4,CARRILLO Samantha,MEX,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
6,VINALS Luisa,MEX,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
9,MERINO Emilia,MEX,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
23,YUNES Andrea,MEX,True,F,0,0,0,0,1,1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
24,PEREZ Sofia,MEX,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
1,GARCIA Paola,MEX,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/statistics/6674/1-mex-vs-tpe,https://www.iihf.com//en/events/2019/ww18ibq/gamecenter/playbyplay/6674/1-mex-vs-tpe,,,,
