jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,BACHMANN Andrea,ISL,True,GK,48,5,43,89.58,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus
20,ARSAELSDOTTIR Alexia,ISL,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus
1,LAST Olivia,AUS,False,GK,6,1,5,83.33,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus
25,SMITH Madison,AUS,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus
1,SELEVICA Nikola,LAT,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37304/2-lat-vs-ned,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37304/2-lat-vs-ned
25,STADNIKA Jelizaveta,LAT,True,GK,39,5,34,87.18,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37304/2-lat-vs-ned,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37304/2-lat-vs-ned
1,TEN CATE Arwen,NED,False,GK,23,2,21,91.3,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37304/2-lat-vs-ned,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37304/2-lat-vs-ned
25,WILKES Elaine,NED,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37304/2-lat-vs-ned,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37304/2-lat-vs-ned
20,de ANTUNANO Miranda,MEX,True,GK,36,6,30,83.33,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37305/3-mex-vs-gbr,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37305/3-mex-vs-gbr
25,CORDERO Valeria,MEX,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37305/3-mex-vs-gbr,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37305/3-mex-vs-gbr
1,EASTON Mali,GBR,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37305/3-mex-vs-gbr,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37305/3-mex-vs-gbr
20,NICHOLS Emma,GBR,False,GK,14,0,14,100.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37305/3-mex-vs-gbr,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37305/3-mex-vs-gbr
1,BADORREY Carlota,ESP,True,GK,2,0,2,100.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37306/4-esp-vs-isl,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37306/4-esp-vs-isl
20,SIERRA Maria,ESP,True,GK,3,0,3,100.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37306/4-esp-vs-isl,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37306/4-esp-vs-isl
1,BACHMANN Andrea,ISL,False,GK,30,8,22,73.33,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37306/4-esp-vs-isl,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37306/4-esp-vs-isl
20,ARSAELSDOTTIR Alexia,ISL,False,GK,18,3,15,83.33,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37306/4-esp-vs-isl,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37306/4-esp-vs-isl
1,PRITSKER Kira,KAZ,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37307/5-kaz-vs-lat,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37307/5-kaz-vs-lat
20,AGEYEVA Veronika,KAZ,True,GK,29,5,24,82.76,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37307/5-kaz-vs-lat,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37307/5-kaz-vs-lat
1,SELEVICA Nikola,LAT,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37307/5-kaz-vs-lat,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37307/5-kaz-vs-lat
25,STADNIKA Jelizaveta,LAT,False,GK,34,1,33,97.06,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37307/5-kaz-vs-lat,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37307/5-kaz-vs-lat
1,KOKSAL Ekin,TUR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37308/6-tur-vs-mex,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37308/6-tur-vs-mex
25,SERT Azra,TUR,True,GK,26,1,25,96.15,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37308/6-tur-vs-mex,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37308/6-tur-vs-mex
20,de ANTUNANO Miranda,MEX,False,GK,27,1,26,96.3,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37308/6-tur-vs-mex,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37308/6-tur-vs-mex
25,CORDERO Valeria,MEX,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37308/6-tur-vs-mex,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37308/6-tur-vs-mex
1,LAST Olivia,AUS,True,GK,48,4,44,91.67,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37309/7-aus-vs-esp,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37309/7-aus-vs-esp
25,SMITH Madison,AUS,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37309/7-aus-vs-esp,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37309/7-aus-vs-esp
1,BADORREY Carlota,ESP,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37309/7-aus-vs-esp,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37309/7-aus-vs-esp
20,SIERRA Maria,ESP,False,GK,14,1,13,92.86,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37309/7-aus-vs-esp,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37309/7-aus-vs-esp
1,TEN CATE Arwen,NED,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37310/8-ned-vs-kaz,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37310/8-ned-vs-kaz
25,WILKES Elaine,NED,True,GK,12,0,12,100.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37310/8-ned-vs-kaz,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37310/8-ned-vs-kaz
1,PRITSKER Kira,KAZ,False,GK,46,6,40,86.96,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37310/8-ned-vs-kaz,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37310/8-ned-vs-kaz
20,AGEYEVA Veronika,KAZ,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37310/8-ned-vs-kaz,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37310/8-ned-vs-kaz
1,EASTON Mali,GBR,True,GK,6,0,6,100.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37311/9-gbr-vs-tur,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37311/9-gbr-vs-tur
20,NICHOLS Emma,GBR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37311/9-gbr-vs-tur,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37311/9-gbr-vs-tur
1,KOKSAL Ekin,TUR,False,GK,28,5,23,82.14,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37311/9-gbr-vs-tur,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37311/9-gbr-vs-tur
