jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
6,GUNNLAUGSDOTTIR Arna,ISL,True,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
9,BJARNADOTTIR Amanda,ISL,True,F,0,0,0,2,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
17,EIRIKSDOTTIR Maria,ISL,True,F,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
21,ATLADOTTIR Heidur,ISL,True,F,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
24,BJORNSDOTTIR Katrin,ISL,True,D,1,0,1,0,2,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
3,KRISTJANSDOTTIR Maria,ISL,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
4,SIGFINNSDOTTIR Elisa,ISL,True,F,0,0,0,2,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
12,RAGNARSDOTTIR Adalheidur,ISL,True,D,0,0,0,2,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
15,SVEINSDOTTIR Sveindis,ISL,True,D,0,0,0,0,0,-2.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
19,ARADOTTIR Inga,ISL,True,D,0,0,0,2,1,-1.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
2,HLYNSDOTTIR Eva,ISL,True,D,0,0,0,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
7,BERGSDOTTIR Hilma,ISL,True,F,0,0,0,0,2,1.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
8,FRIDJONSDOTTIR Arna,ISL,True,F,0,0,0,0,1,0.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
14,JOHANNSDOTTIR Lara,ISL,True,F,0,1,1,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
18,SIGURDARDOTTIR Gudbjorg,ISL,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
23,STEFANSDOTTIR Fridrika,ISL,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
1,BACHMANN Andrea,ISL,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
20,ARSAELSDOTTIR Alexia,ISL,True,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
5,MAHONEY Courtney,AUS,False,F,1,0,1,0,11,2.0,0:00,0.0,0:00,3,0:00,2,0:00,6,0:00,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/statistics/37303/1-isl-vs-aus,https://www.iihf.com//en/events/2022/ww18ii/gamecenter/playbyplay/37303/1-isl-vs-aus,,,,
