jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,FANG Heng-Yu,TPE,True,GK,19,1,18,94.74,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14875/1-tpe-vs-ned,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14875/1-tpe-vs-ned
20,HSU Hsiang-Yun,TPE,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14875/1-tpe-vs-ned,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14875/1-tpe-vs-ned
1,TEN CATE Arwen,NED,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14875/1-tpe-vs-ned,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14875/1-tpe-vs-ned
20,FONDSE Emma,NED,False,GK,31,2,29,93.55,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14875/1-tpe-vs-ned,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14875/1-tpe-vs-ned
1,BURLAKOVA Natalya,KAZ,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14876/2-kaz-vs-aus,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14876/2-kaz-vs-aus
20,GOVTVA Polina,KAZ,True,GK,30,3,27,90.0,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14876/2-kaz-vs-aus,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14876/2-kaz-vs-aus
1,PEARSON Taylah,AUS,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14876/2-kaz-vs-aus,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14876/2-kaz-vs-aus
25,LAST Olivia,AUS,False,GK,31,2,29,93.55,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14876/2-kaz-vs-aus,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14876/2-kaz-vs-aus
1,TEN CATE Arwen,NED,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14877/3-ned-vs-aus,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14877/3-ned-vs-aus
20,FONDSE Emma,NED,True,GK,21,0,21,100.0,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14877/3-ned-vs-aus,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14877/3-ned-vs-aus
1,PEARSON Taylah,AUS,False,GK,31,2,29,93.55,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14877/3-ned-vs-aus,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14877/3-ned-vs-aus
25,LAST Olivia,AUS,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14877/3-ned-vs-aus,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14877/3-ned-vs-aus
1,BURLAKOVA Natalya,KAZ,True,GK,31,2,29,93.55,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14878/4-kaz-vs-tpe,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14878/4-kaz-vs-tpe
20,GOVTVA Polina,KAZ,True,GK,14,2,12,85.71,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14878/4-kaz-vs-tpe,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14878/4-kaz-vs-tpe
1,FANG Heng-Yu,TPE,False,GK,22,3,19,86.36,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14878/4-kaz-vs-tpe,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14878/4-kaz-vs-tpe
20,HSU Hsiang-Yun,TPE,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14878/4-kaz-vs-tpe,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14878/4-kaz-vs-tpe
1,PEARSON Taylah,AUS,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14879/5-aus-vs-tpe,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14879/5-aus-vs-tpe
25,LAST Olivia,AUS,True,GK,46,4,42,91.3,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14879/5-aus-vs-tpe,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14879/5-aus-vs-tpe
1,FANG Heng-Yu,TPE,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14879/5-aus-vs-tpe,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14879/5-aus-vs-tpe
20,HSU Hsiang-Yun,TPE,False,GK,18,3,15,83.33,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14879/5-aus-vs-tpe,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14879/5-aus-vs-tpe
1,TEN CATE Arwen,NED,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14880/6-ned-vs-kaz,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14880/6-ned-vs-kaz
20,FONDSE Emma,NED,True,GK,16,1,15,93.75,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/statistics/14880/6-ned-vs-kaz,https://www.iihf.com//en/events/2020/ww18iia/gamecenter/playbyplay/14880/6-ned-vs-kaz
