jersey_number,name,team,home,pos,sog,ga,svs,svs%,statistics_url,game_url
1,SERT Azra,TUR,True,GK,22,2,20,90.91,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14882/1-tur-vs-nzl,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14882/1-tur-vs-nzl
20,AKSU Gul,TUR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14882/1-tur-vs-nzl,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14882/1-tur-vs-nzl
1,BYCK Breane,NZL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14882/1-tur-vs-nzl,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14882/1-tur-vs-nzl
20,FORBES Lilly,NZL,False,GK,29,3,26,89.66,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14882/1-tur-vs-nzl,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14882/1-tur-vs-nzl
1,GARCIA Paola,MEX,True,GK,39,3,36,92.31,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14883/2-mex-vs-esp,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14883/2-mex-vs-esp
20,de ANTUNANO Miranda,MEX,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14883/2-mex-vs-esp,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14883/2-mex-vs-esp
20,OSTAFIYCHUK Crisitna,ESP,False,GK,6,2,4,66.67,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14883/2-mex-vs-esp,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14883/2-mex-vs-esp
25,CORREA Carmen,ESP,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14883/2-mex-vs-esp,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14883/2-mex-vs-esp
20,OSTAFIYCHUK Crisitna,ESP,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14884/3-esp-vs-nzl,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14884/3-esp-vs-nzl
25,CORREA Carmen,ESP,True,GK,2,1,1,50.0,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14884/3-esp-vs-nzl,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14884/3-esp-vs-nzl
1,BYCK Breane,NZL,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14884/3-esp-vs-nzl,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14884/3-esp-vs-nzl
20,FORBES Lilly,NZL,False,GK,87,6,81,93.1,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14884/3-esp-vs-nzl,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14884/3-esp-vs-nzl
1,SERT Azra,TUR,True,GK,14,0,14,100.0,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14885/4-tur-vs-mex,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14885/4-tur-vs-mex
20,AKSU Gul,TUR,True,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14885/4-tur-vs-mex,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14885/4-tur-vs-mex
1,GARCIA Paola,MEX,False,GK,0,0,0,0.0,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14885/4-tur-vs-mex,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14885/4-tur-vs-mex
20,de ANTUNANO Miranda,MEX,False,GK,27,2,25,92.59,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14885/4-tur-vs-mex,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14885/4-tur-vs-mex
20,OSTAFIYCHUK Crisitna,ESP,True,GK,2,0,2,100.0,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/statistics/14886/5-esp-vs-tur,https://www.iihf.com//en/events/2020/ww18iib/gamecenter/playbyplay/14886/5-esp-vs-tur
